Warehouse,Product_Code,SupplierID,ManufID,WH1,WH2,WH3,WH4,Time_Enroute,Destination,Miles,f1,f2,f3,f4,f5,capacity,prodx,cost,Product_Code_Warehouse,xProd_vecm,production_quantity,Forecast,Product_Category,WarehouseID,Warehouse_City,Warehouse_State,Warehouse_Region,Type,Color,Address,Lat,Long
W2,Product_0001,S2,M3,W2,,,,2,W2,5.969967361e-08,596.9967361,292.0635287,,,,67.0,Product_0001S2M3W2,0.02,Product_0001_W2,Product_0001S2M3W2,67.0,127,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0001,S3,M3,W2,,,,2,W2,6.99089179e-08,699.0891790000001,292.0635287,,,,60.0,Product_0001S3M3W2,0.02,Product_0001_W2,Product_0001S3M3W2,53.0,127,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0003,S1,M1,W2,,,,2,W2,8.341443398e-08,834.1443397999999,794.2351932999999,,,,1445.0,Product_0003S1M1W2,0.09,Product_0003_W2,Product_0003S1M1W2,365.0,2897,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0003,S2,M3,W2,,,,2,W2,5.969967361e-08,596.9967361,292.0635287,,,,979.0,Product_0003S2M3W2,0.09,Product_0003_W2,Product_0003S2M3W2,979.0,2897,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0003,S3,M3,W2,,,,2,W2,6.99089179e-08,699.0891790000001,292.0635287,,,,1077.0,Product_0003S3M3W2,0.09,Product_0003_W2,Product_0003S3M3W2,1077.0,2897,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0003,S4,M1,W2,,,,2,W2,9.746659208999901e-08,974.6659208999998,794.2351932999999,,,,1395.0,Product_0003S4M1W2,0.09,Product_0003_W2,Product_0003S4M1W2,247.0,2897,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0004,S1,M1,W2,,,,2,W2,8.341443398e-08,834.1443397999999,794.2351932999999,,,,655.0,Product_0004S1M1W2,0.04,Product_0004_W2,Product_0004S1M1W2,655.0,2293,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0004,S2,M3,W2,,,,2,W2,5.969967361e-08,596.9967361,292.0635287,,,,513.0,Product_0004S2M3W2,0.04,Product_0004_W2,Product_0004S2M3W2,513.0,2293,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0004,S3,M3,W2,,,,2,W2,6.99089179e-08,699.0891790000001,292.0635287,,,,725.0,Product_0004S3M3W2,0.04,Product_0004_W2,Product_0004S3M3W2,725.0,2293,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
W2,Product_0004,S4,M1,W2,,,,2,W2,9.746659208999901e-08,974.6659208999998,794.2351932999999,,,,678.0,Product_0004S4M1W2,0.04,Product_0004_W2,Product_0004S4M1W2,307.0,2293,Category_005,W2,Los Angeles,CA,West Coast Region,Warehouse,Blue,,34.0522,-118.2437
