product,supplier,capacity
Product_0001,S1,1403
Product_0001,S2,1494
Product_0001,S3,969
Product_0001,S4,1400
Product_0003,S1,2151
Product_0003,S2,2013
Product_0003,S3,1515
Product_0003,S4,1385
Product_0004,S1,1938
Product_0004,S2,1571
Product_0004,S3,1911
Product_0004,S4,1781
Product_0005,S1,355
Product_0005,S2,275
Product_0005,S3,300
Product_0005,S4,240
Product_0006,S1,324
Product_0006,S2,258
Product_0006,S3,308
Product_0006,S4,278
Product_0007,S1,4460
Product_0007,S2,4582
Product_0007,S3,5924
Product_0007,S4,5375
Product_0008,S1,9366
Product_0008,S2,11583
Product_0008,S3,12906
Product_0008,S4,12891
Product_0009,S1,3385
Product_0009,S2,3806
Product_0009,S3,3887
Product_0009,S4,4545
Product_0010,S1,1589
Product_0010,S2,1342
Product_0010,S3,1389
Product_0010,S4,1078
Product_0011,S1,35268
Product_0011,S2,34689
Product_0011,S3,29489
Product_0011,S4,21720
Product_0012,S1,53846
Product_0012,S2,73942
Product_0012,S3,77483
Product_0012,S4,49385
Product_0013,S1,4208
Product_0013,S2,5207
Product_0013,S3,5802
Product_0013,S4,4403
Product_0014,S1,31748
Product_0014,S2,35614
Product_0014,S3,37060
Product_0014,S4,32803
Product_0015,S1,69495
Product_0015,S2,66641
Product_0015,S3,67466
Product_0015,S4,76288
Product_0016,S1,74066
Product_0016,S2,65180
Product_0016,S3,79318
Product_0016,S4,85761
Product_0017,S1,8648
Product_0017,S2,10400
Product_0017,S3,6754
Product_0017,S4,8887
Product_0018,S1,41047
Product_0018,S2,42870
Product_0018,S3,37719
Product_0018,S4,37914
Product_0019,S1,12576
Product_0019,S2,10046
Product_0019,S3,15490
Product_0019,S4,12910
Product_0020,S1,31872
Product_0020,S2,29569
Product_0020,S3,29485
Product_0020,S4,29046
Product_0021,S1,48218
Product_0021,S2,39259
Product_0021,S3,42449
Product_0021,S4,53863
Product_0022,S1,7925
Product_0022,S2,6842
Product_0022,S3,6618
Product_0022,S4,9316
Product_0023,S1,10098
Product_0023,S2,9511
Product_0023,S3,9954
Product_0023,S4,9851
Product_0024,S1,238661
Product_0024,S2,270180
Product_0024,S3,294179
Product_0024,S4,362480
Product_0025,S1,11837
Product_0025,S2,11725
Product_0025,S3,15658
Product_0025,S4,12748
Product_0026,S1,6197
Product_0026,S2,4411
Product_0026,S3,6754
Product_0026,S4,6128
Product_0027,S1,924
Product_0027,S2,922
Product_0027,S3,880
Product_0027,S4,773
Product_0028,S1,1503
Product_0028,S2,1348
Product_0028,S3,1614
Product_0028,S4,1638
Product_0029,S1,405
Product_0029,S2,403
Product_0029,S3,499
Product_0029,S4,378
Product_0030,S1,247
Product_0030,S2,234
Product_0030,S3,218
Product_0030,S4,288
Product_0031,S1,108430
Product_0031,S2,71553
Product_0031,S3,99322
Product_0031,S4,97561
Product_0032,S1,15355
Product_0032,S2,14284
Product_0032,S3,15064
Product_0032,S4,11420
Product_0033,S1,208827
Product_0033,S2,301595
Product_0033,S3,207251
Product_0033,S4,212825
Product_0034,S1,19086
Product_0034,S2,12547
Product_0034,S3,15451
Product_0034,S4,12126
Product_0035,S1,12427
Product_0035,S2,12060
Product_0035,S3,13032
Product_0035,S4,11181
Product_0036,S1,24258
Product_0036,S2,36492
Product_0036,S3,30770
Product_0036,S4,38239
Product_0037,S1,8105
Product_0037,S2,6776
Product_0037,S3,6777
Product_0037,S4,5028
Product_0039,S1,14211
Product_0039,S2,12012
Product_0039,S3,9530
Product_0039,S4,12351
Product_0040,S1,151
Product_0040,S2,174
Product_0040,S3,190
Product_0040,S4,172
Product_0041,S1,401
Product_0041,S2,343
Product_0041,S3,457
Product_0041,S4,327
Product_0042,S1,2472
Product_0042,S2,2687
Product_0042,S3,1932
Product_0042,S4,2805
Product_0043,S1,196
Product_0043,S2,157
Product_0043,S3,165
Product_0043,S4,232
Product_0045,S1,131
Product_0045,S2,187
Product_0045,S3,168
Product_0045,S4,132
Product_0046,S1,52
Product_0046,S2,48
Product_0046,S3,57
Product_0046,S4,64
Product_0047,S1,928
Product_0047,S2,1216
Product_0047,S3,964
Product_0047,S4,1124
Product_0048,S1,207
Product_0048,S2,251
Product_0048,S3,241
Product_0048,S4,317
Product_0049,S1,1247
Product_0049,S2,1111
Product_0049,S3,1122
Product_0049,S4,1009
Product_0050,S1,206
Product_0050,S2,205
Product_0050,S3,164
Product_0050,S4,166
Product_0051,S1,1512
Product_0051,S2,1971
Product_0051,S3,1484
Product_0051,S4,1485
Product_0052,S1,6149
Product_0052,S2,5788
Product_0052,S3,6380
Product_0052,S4,4254
Product_0053,S1,8452
Product_0053,S2,5410
Product_0053,S3,6320
Product_0053,S4,5882
Product_0054,S1,11239
Product_0054,S2,8682
Product_0054,S3,9318
Product_0054,S4,10368
Product_0055,S1,1470
Product_0055,S2,1314
Product_0055,S3,1157
Product_0055,S4,1354
Product_0056,S1,378
Product_0056,S2,422
Product_0056,S3,392
Product_0056,S4,438
Product_0057,S1,3
Product_0057,S2,3
Product_0057,S3,3
Product_0057,S4,3
Product_0058,S1,5
Product_0058,S2,4
Product_0058,S3,4
Product_0058,S4,5
Product_0059,S1,2
Product_0059,S2,2
Product_0059,S3,2
Product_0059,S4,2
Product_0060,S1,3
Product_0060,S2,4
Product_0060,S3,4
Product_0060,S4,4
Product_0061,S1,7752
Product_0061,S2,8201
Product_0061,S3,10170
Product_0061,S4,8683
Product_0062,S1,22814
Product_0062,S2,25878
Product_0062,S3,20474
Product_0062,S4,24880
Product_0063,S1,145106
Product_0063,S2,134940
Product_0063,S3,193234
Product_0063,S4,133375
Product_0064,S1,93360
Product_0064,S2,89042
Product_0064,S3,93889
Product_0064,S4,95770
Product_0065,S1,121180
Product_0065,S2,89390
Product_0065,S3,119859
Product_0065,S4,114428
Product_0066,S1,163351
Product_0066,S2,163044
Product_0066,S3,137817
Product_0066,S4,188621
Product_0067,S1,9035
Product_0067,S2,7680
Product_0067,S3,7931
Product_0067,S4,9429
Product_0068,S1,9177
Product_0068,S2,8466
Product_0068,S3,7329
Product_0068,S4,8747
Product_0069,S1,18675
Product_0069,S2,17090
Product_0069,S3,19525
Product_0069,S4,19533
Product_0070,S1,76539
Product_0070,S2,74629
Product_0070,S3,77124
Product_0070,S4,92884
Product_0071,S1,49783
Product_0071,S2,49869
Product_0071,S3,38937
Product_0071,S4,44774
Product_0072,S1,5038
Product_0072,S2,5355
Product_0072,S3,4245
Product_0072,S4,4736
Product_0073,S1,152269
Product_0073,S2,141177
Product_0073,S3,147032
Product_0073,S4,188662
Product_0074,S1,37842
Product_0074,S2,46211
Product_0074,S3,35278
Product_0074,S4,40740
Product_0076,S1,73
Product_0076,S2,58
Product_0076,S3,51
Product_0076,S4,50
Product_0078,S1,41999
Product_0078,S2,29728
Product_0078,S3,39239
Product_0078,S4,27313
Product_0079,S1,26526
Product_0079,S2,20337
Product_0079,S3,21828
Product_0079,S4,30591
Product_0080,S1,7584
Product_0080,S2,11794
Product_0080,S3,10515
Product_0080,S4,11021
Product_0081,S1,19610
Product_0081,S2,19589
Product_0081,S3,16023
Product_0081,S4,13931
Product_0082,S1,205890
Product_0082,S2,192058
Product_0082,S3,267324
Product_0082,S4,221526
Product_0083,S1,167155
Product_0083,S2,199890
Product_0083,S3,138438
Product_0083,S4,142108
Product_0085,S1,51896
Product_0085,S2,57415
Product_0085,S3,55829
Product_0085,S4,54203
Product_0086,S1,36179
Product_0086,S2,46876
Product_0086,S3,32650
Product_0086,S4,40023
Product_0087,S1,3681
Product_0087,S2,4443
Product_0087,S3,4124
Product_0087,S4,4121
Product_0088,S1,16469
Product_0088,S2,17057
Product_0088,S3,13761
Product_0088,S4,11961
Product_0089,S1,51233
Product_0089,S2,54995
Product_0089,S3,45288
Product_0089,S4,62017
Product_0090,S1,2243
Product_0090,S2,2329
Product_0090,S3,2243
Product_0090,S4,2076
Product_0092,S1,3290
Product_0092,S2,2847
Product_0092,S3,3405
Product_0092,S4,2756
Product_0093,S1,104217
Product_0093,S2,111684
Product_0093,S3,110956
Product_0093,S4,94342
Product_0095,S1,5581
Product_0095,S2,5203
Product_0095,S3,6617
Product_0095,S4,5053
Product_0096,S1,108715
Product_0096,S2,139754
Product_0096,S3,142342
Product_0096,S4,132159
Product_0097,S1,7021
Product_0097,S2,7903
Product_0097,S3,7548
