id,year,text,Council_District
1,2016,"Dissatisfied traffic and with traffic, timing of street lights.  EXTREMELY dissatisfied with cit govt. interfering in local businesses (Uber/Lyft, income property owners).  Also, extremely dissatisfied with all the free handouts to people who are perfectly capable of earning their own money.  I'm very dissatisfied with the liberal leaning local politicians.",7
2,2016,"Maintenance of city facilities needs to be equitable across the city. We need to think long-term; Austin can't sustain it's current level of ""chic"" indefinitely. What are we going to do when the cool beautiful people move to a community with more shiny dime-store objects to lure them? Long after the current boom goes bust (and it always does) the rest of us real Austinites will still be here. It really is time to stop sacrificing the quality of life on the east side of town (or any of the  less-privileged parts of town) for the wants of those living in the wealthier areas. The differences from one neighborhood to the next are quite visible. Public transportation needs to be a primary issue, whether the numerous single-car drivers like it or not. In short, we need to find our way back to being both more humane and pragmatic.",9
3,2016,NEED TO IMPROVE POLICE ACCOUNTABILITY AND CURB ENTRIFICATION,1
4,2016,"(1) City of Austin taxes are way too high especially property tax!! (2) Now that it is required by law for EVERYONE to have health insurance, you mist eliminate the ""Travis County Health"" tax!!",7
5,2016,"(1) For a city where flash floods are endemic =, we're sure building over our ground at a scary rate. (2) ATD's solution to crowded streets seems to be make them more difficult for automotive traffic to use.",3
6,2016,"(1) Lower the rent please. (2) Don't let Cap-metro cancel Bus #331 east of Valley. Several of us use it to go to work, including a wheel chair man.",3
7,2016,(1) You cannot continue to fund city activities only from property taxes. (2) You cannon expect people in the suburbs to fund the transportation needs of high density downtown living.,10
8,2016,1.  Massive road expansion.  Too much traffic.  2.  Lower energy costs.,8
9,2016,1.  Traffic congestion.  2.  Make utility changes more affordable for seniors.  3.  Tax breaks for seniors.,8
10,2016,10-1 is working. Keep it up!,5
11,2016,60% of streets in Govalle Johnston NEED SEDEWALKS.,3
12,2016,a cleaner downtown area,9
13,2016,A large selection on available resources.,1
14,2016,A major US metro area should have world-class museums.,4
15,2016,A plan to standardize pay for local musicians. I have proven ideas.,5
16,2016,a public transit train system is a necessity,1
17,2016,A solution to the horrendous traffic problem on 35.,2
18,2016,A substation light rail/mass transit system to rival competing cities & a highway system to rival Dallas,5
19,2016,"A way to stop landlords from gouging the public with such high rent. At this rate, I have to move out of Austin.",1
20,2016,ADA QUALITY SIDEWALK TRAVEL,4
21,2016,Address  traffic issues,5
22,2016,ADDRESS AFFORDABLE HOUSING.,7
23,2016,Address flooding problems at Pleasant Valley/Onion Creek.,2
24,2016,Address homelessness,6
25,2016,ADDRESS RAPIDLY INCREASING COST OF LIVING,10
26,2016,Address the traffic issues and keep creating a safe habitat of opportunity for the citizens,8
27,2016,Address transportation problems NOW.  No more idiot transportation bond proposals.  Hopefully insane transportation bonds will be defeated.,10
28,2016,Advertise the night owl bus more and run it on Sunday nights.,4
29,2016,Affordability,10
30,2016,AFFORDABILITY ACROSS ALL HOUSEHOLD INCOMES,8
31,2016,"Austin needs to get serious about alternatives to driving including real mass transit, bike, and pedestrian facilities.  Public transit is critical in any connected city.",9
32,2016,"Affordability and diversity (in culture and age groups) are extremely important to keeping Austin the vibrant, egalitarian city it is. I hope we continue to make Austin a hospitable environment for a wide range of age and ethic groups. thanks",8
33,2016,AFFORDABILITY AND TRAFFIC,9
34,2016,AFFORDABILITY LONG TERM GROWTH PLAN FOR THE CITY TO KEEP ECONOMIC AND DIVERSITY.,8
35,2016,Affordability of housing,2
36,2016,Affordability of housing and living in Austin,8
37,2016,AFFORDABILITY TO CONTINUE TO LIVE IN MY HOME.,10
38,2016,Affordable housing,3
39,2016,AFFORDABLE HOUSING FOR LOW INCOME & TRAFFIC,7
40,2016,Affordable housing for middle and low income families not based off average income levels. But actual real world numbers.,7
41,2016,"Affordable housing for people single parents with a past criminal record not myself but for others I know of - the section 8 program needs to be improved. Street parking  not allowing for cars to park on both side of residential street-, homeless people littering and sleeping under bridges along IH-35.",1
42,2016,Affordable housing for Seniors or middle income individuals.,6
43,2016,Affordable housing for teachers.,2
44,2016,"Affordable housing in decent neighborhoods not only for artists, but Austin-its who don't make six-figures.",7
45,2016,affordable housing in key and public transportation to reduce the number of cars on the roads,6
