name,description
GEOID,GEOGRAPHIC IDENTIFIER (ZIP CODE TABULATION AREA)
B15001e1,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Total:  Population 18 years and over -- (Estimate)
B15001e2,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  Population 18 years and over -- (Estimate)
B15001e3,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  18 to 24 years:  Population 18 years and over -- (Estimate)
B15001e4,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  18 to 24 years:  Less than 9th grade:  Population 18 years and over -- (Estimate)
B15001e5,"SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  18 to 24 years:  9th to 12th grade, no diploma:  Population 18 years and over -- (Estimate)"
B15001e6,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  18 to 24 years:  High school graduate (includes equivalency):  Population 18 years and over -- (Estimate)
B15001e7,"SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  18 to 24 years:  Some college, no degree:  Population 18 years and over -- (Estimate)"
B15001e8,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  18 to 24 years:  Associate's degree:  Population 18 years and over -- (Estimate)
B15001e9,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  18 to 24 years:  Bachelor's degree:  Population 18 years and over -- (Estimate)
B15001e10,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER:  Male:  18 to 24 years:  Graduate or professional degree:  Population 18 years and over -- (Estimate)
