name,description
GEOID,GEOGRAPHIC IDENTIFIER (ZIP CODE TABULATION AREA)
B17003e1,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT:  Total:  Population 25 years and over for whom poverty status is determined -- (Estimate)
B17001e1,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Total:  Population for whom poverty status is determined -- (Estimate)
B17001e2,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Population for whom poverty status is determined -- (Estimate)
B17001e3,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  Population for whom poverty status is determined -- (Estimate)
B17001e4,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  Under 5 years:  Population for whom poverty status is determined -- (Estimate)
B17001e5,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  5 years:  Population for whom poverty status is determined -- (Estimate)
B17001e6,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  6 to 11 years:  Population for whom poverty status is determined -- (Estimate)
B17001e7,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  12 to 14 years:  Population for whom poverty status is determined -- (Estimate)
B17001e8,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  15 years:  Population for whom poverty status is determined -- (Estimate)
B17001e9,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  16 and 17 years:  Population for whom poverty status is determined -- (Estimate)
B17001e10,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  18 to 24 years:  Population for whom poverty status is determined -- (Estimate)
B17001e11,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  25 to 34 years:  Population for whom poverty status is determined -- (Estimate)
B17001e12,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  35 to 44 years:  Population for whom poverty status is determined -- (Estimate)
B17001e13,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  45 to 54 years:  Population for whom poverty status is determined -- (Estimate)
B17001e14,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  55 to 64 years:  Population for whom poverty status is determined -- (Estimate)
B17001e15,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  65 to 74 years:  Population for whom poverty status is determined -- (Estimate)
B17001e16,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Male:  75 years and over:  Population for whom poverty status is determined -- (Estimate)
B17001e17,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  Population for whom poverty status is determined -- (Estimate)
B17001e18,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  Under 5 years:  Population for whom poverty status is determined -- (Estimate)
B17001e19,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  5 years:  Population for whom poverty status is determined -- (Estimate)
B17001e20,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  6 to 11 years:  Population for whom poverty status is determined -- (Estimate)
B17001e21,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  12 to 14 years:  Population for whom poverty status is determined -- (Estimate)
B17001e22,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  15 years:  Population for whom poverty status is determined -- (Estimate)
B17001e23,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  16 and 17 years:  Population for whom poverty status is determined -- (Estimate)
B17001e24,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  18 to 24 years:  Population for whom poverty status is determined -- (Estimate)
B17001e25,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  25 to 34 years:  Population for whom poverty status is determined -- (Estimate)
B17001e26,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  35 to 44 years:  Population for whom poverty status is determined -- (Estimate)
B17001e27,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  45 to 54 years:  Population for whom poverty status is determined -- (Estimate)
B17001e28,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  55 to 64 years:  Population for whom poverty status is determined -- (Estimate)
B17001e29,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  65 to 74 years:  Population for whom poverty status is determined -- (Estimate)
B17001e30,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months below poverty level:  Female:  75 years and over:  Population for whom poverty status is determined -- (Estimate)
B17001e31,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Population for whom poverty status is determined -- (Estimate)
B17001e32,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  Population for whom poverty status is determined -- (Estimate)
B17001e33,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  Under 5 years:  Population for whom poverty status is determined -- (Estimate)
B17001e34,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE:  Income in the past 12 months at or above poverty level:  Male:  5 years:  Population for whom poverty status is determined -- (Estimate)
