name,description
GEOID,GEOGRAPHIC IDENTIFIER (ZIP CODE TABULATION AREA)
B27010e1,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Total:  Civilian noninstitutionalized population -- (Estimate)
B27010e2,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  Civilian noninstitutionalized population -- (Estimate)
B27010e3,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With one type of health insurance coverage:  Civilian noninstitutionalized population -- (Estimate)
B27010e4,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With one type of health insurance coverage:  With employer-based health insurance only:  Civilian noninstitutionalized population -- (Estimate)
B27010e5,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With one type of health insurance coverage:  With direct-purchase health insurance only:  Civilian noninstitutionalized population -- (Estimate)
B27010e6,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With one type of health insurance coverage:  With Medicare coverage only:  Civilian noninstitutionalized population -- (Estimate)
B27010e7,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With one type of health insurance coverage:  With Medicaid/means-tested public coverage only:  Civilian noninstitutionalized population -- (Estimate)
B27010e8,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With one type of health insurance coverage:  With TRICARE/military health coverage only:  Civilian noninstitutionalized population -- (Estimate)
B27010e9,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With one type of health insurance coverage:  With VA Health Care only:  Civilian noninstitutionalized population -- (Estimate)
B27010e10,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With two or more types of health insurance coverage:  Civilian noninstitutionalized population -- (Estimate)
B27010e11,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With two or more types of health insurance coverage:  With employer-based and direct-purchase coverage:  Civilian noninstitutionalized population -- (Estimate)
B27010e12,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With two or more types of health insurance coverage:  With employer-based and Medicare coverage:  Civilian noninstitutionalized population -- (Estimate)
B27010e13,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With two or more types of health insurance coverage:  With Medicare and Medicaid/means-tested public coverage:  Civilian noninstitutionalized population -- (Estimate)
B27010e14,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With two or more types of health insurance coverage:  Other private only combinations:  Civilian noninstitutionalized population -- (Estimate)
B27010e15,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With two or more types of health insurance coverage:  Other public only combinations:  Civilian noninstitutionalized population -- (Estimate)
B27010e16,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  With two or more types of health insurance coverage:  Other coverage combinations:  Civilian noninstitutionalized population -- (Estimate)
B27010e17,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  Under 18 years:  No health insurance coverage:  Civilian noninstitutionalized population -- (Estimate)
B27010e18,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  18 to 34 years:  Civilian noninstitutionalized population -- (Estimate)
B27010e19,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  18 to 34 years:  With one type of health insurance coverage:  Civilian noninstitutionalized population -- (Estimate)
B27010e20,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  18 to 34 years:  With one type of health insurance coverage:  With employer-based health insurance only:  Civilian noninstitutionalized population -- (Estimate)
B27010e21,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  18 to 34 years:  With one type of health insurance coverage:  With direct-purchase health insurance only:  Civilian noninstitutionalized population -- (Estimate)
B27010e22,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  18 to 34 years:  With one type of health insurance coverage:  With Medicare coverage only:  Civilian noninstitutionalized population -- (Estimate)
B27010e23,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  18 to 34 years:  With one type of health insurance coverage:  With Medicaid/means-tested public coverage only:  Civilian noninstitutionalized population -- (Estimate)
B27010e24,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  18 to 34 years:  With one type of health insurance coverage:  With TRICARE/military health coverage only:  Civilian noninstitutionalized population -- (Estimate)
B27010e25,TYPES OF HEALTH INSURANCE COVERAGE BY AGE:  18 to 34 years:  With one type of health insurance coverage:  With VA Health Care only:  Civilian noninstitutionalized population -- (Estimate)
