name,description
GEOID,HEALTH INSURANCE COVERAGE STATUS BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE:  4.00 of poverty threshold and over:  65 years and over:  No health insurance coverage:  Civilian noninstitutionalized population for whom poverty status i
B25001e1,HOUSING UNITS:  Total:  Housing units -- (Estimate)
B25002e1,OCCUPANCY STATUS:  Total:  Housing units -- (Estimate)
B25002e2,OCCUPANCY STATUS:  Occupied:  Housing units -- (Estimate)
B25002e3,OCCUPANCY STATUS:  Vacant:  Housing units -- (Estimate)
B25003e1,TENURE:  Total:  Occupied housing units -- (Estimate)
B25003e2,TENURE (ASIAN ALONE HOUSEHOLDER):  Renter occupied:  Occupied housing units with a householder who is Asian alone -- (Margin of Error)
B25003e3,TENURE (ASIAN ALONE HOUSEHOLDER):  Renter occupied:  Occupied housing units with a householder who is Asian alone -- (Margin of Error)
B25003Ae1,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Ae2,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Ae3,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Be1,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Be2,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Be3,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Ce1,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Ce2,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Ce3,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003De1,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003De2,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003De3,OCCUPANCY STATUS:  Vacant:  Housing units -- (Margin of Error)
B25003Ee1,TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER):  Total:  Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B25003Ee2,TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER):  Owner occupied:  Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B25003Ee3,TENURE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER):  Renter occupied:  Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B25003Fe1,TENURE (SOME OTHER RACE ALONE HOUSEHOLDER):  Total:  Occupied housing units with a householder who is Some other race alone -- (Estimate)
B25003Fe2,TENURE (SOME OTHER RACE ALONE HOUSEHOLDER):  Owner occupied:  Occupied housing units with a householder who is Some other race alone -- (Estimate)
B25003Fe3,TENURE (SOME OTHER RACE ALONE HOUSEHOLDER):  Renter occupied:  Occupied housing units with a householder who is Some other race alone -- (Estimate)
B25003Ge1,TENURE (TWO OR MORE RACES HOUSEHOLDER):  Total:  Occupied housing units with a householder who is Two or more races -- (Estimate)
B25003Ge2,TENURE (TWO OR MORE RACES HOUSEHOLDER):  Owner occupied:  Occupied housing units with a householder who is Two or more races -- (Estimate)
B25003Ge3,TENURE (TWO OR MORE RACES HOUSEHOLDER):  Renter occupied:  Occupied housing units with a householder who is Two or more races -- (Estimate)
B25003He1,"TENURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER): Total:  Occupied housing units with a householder who is White alone, not Hispanic or Latino -- (Estimate)"
B25003He2,"TENURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER): Owner occupied:  Occupied housing units with a householder who is White alone, not Hispanic or Latino -- (Estimate)"
B25003He3,"TENURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER): Renter occupied:  Occupied housing units with a householder who is White alone, not Hispanic or Latino -- (Estimate)"
B25003Ie1,TENURE (HISPANIC OR LATINO HOUSEHOLDER):  Total:  Occupied housing units with a householder who is Hispanic or Latino -- (Estimate)
B25003Ie2,TENURE (HISPANIC OR LATINO HOUSEHOLDER):  Owner occupied:  Occupied housing units with a householder who is Hispanic or Latino -- (Estimate)
B25003Ie3,TENURE (HISPANIC OR LATINO HOUSEHOLDER):  Renter occupied:  Occupied housing units with a householder who is Hispanic or Latino -- (Estimate)
B25004e1,VACANCY STATUS:  Total:  Vacant housing units -- (Estimate)
B25004e2,VACANCY STATUS:  For rent:  Vacant housing units -- (Estimate)
B25004e3,"VACANCY STATUS:  Rented, not occupied:  Vacant housing units -- (Estimate)"
B25004e4,VACANCY STATUS:  For sale only:  Vacant housing units -- (Estimate)
B25004e5,"VACANCY STATUS:  Sold, not occupied:  Vacant housing units -- (Estimate)"
B25004e6,"VACANCY STATUS:  For seasonal, recreational, or occasional use:  Vacant housing units -- (Estimate)"
B25004e7,VACANCY STATUS:  For migrant workers:  Vacant housing units -- (Estimate)
B25004e8,VACANCY STATUS:  Other vacant:  Vacant housing units -- (Estimate)
B25005e1,VACANT - CURRENT RESIDENCE ELSEWHERE:  Total:  Vacant housing units -- (Estimate)
B25005e2,VACANT - CURRENT RESIDENCE ELSEWHERE:  Vacant - current residence elsewhere:  Vacant housing units -- (Estimate)
B25005e3,VACANT - CURRENT RESIDENCE ELSEWHERE:  All other vacant units:  Vacant housing units -- (Estimate)
B25017e1,ROOMS:  Total:  Housing units -- (Estimate)
B25017e2,ROOMS:  1 room:  Housing units -- (Estimate)
B25017e3,ROOMS:  2 rooms:  Housing units -- (Estimate)
B25017e4,ROOMS:  3 rooms:  Housing units -- (Estimate)
B25017e5,ROOMS:  4 rooms:  Housing units -- (Estimate)
B25017e6,ROOMS:  5 rooms:  Housing units -- (Estimate)
B25017e7,ROOMS:  6 rooms:  Housing units -- (Estimate)
B25017e8,ROOMS:  7 rooms:  Housing units -- (Estimate)
B25017e9,ROOMS:  8 rooms:  Housing units -- (Estimate)
B25017e10,ROOMS:  Total:  Housing units -- (Estimate)
B25018e1,MEDIAN NUMBER OF ROOMS:  Median number of rooms:  Housing units -- (Estimate)
B25019e1,AGGREGATE NUMBER OF ROOMS:  Aggregate number of rooms:  Housing units -- (Estimate)
B25021e1,MEDIAN NUMBER OF ROOMS BY TENURE:  Total:  Occupied housing units -- (Estimate)
B25021e2,MEDIAN NUMBER OF ROOMS BY TENURE:  Owner occupied:  Occupied housing units -- (Estimate)
B25021e3,MEDIAN NUMBER OF ROOMS BY TENURE:  Renter occupied:  Occupied housing units -- (Estimate)
B25022e1,AGGREGATE NUMBER OF ROOMS BY TENURE:  Aggregate number of rooms:  Occupied housing units -- (Estimate)
B25022e2,AGGREGATE NUMBER OF ROOMS BY TENURE:  Owner occupied:  Occupied housing units -- (Estimate)
B25022e3,AGGREGATE NUMBER OF ROOMS BY TENURE:  Renter occupied:  Occupied housing units -- (Estimate)
B25024e1,UNITS IN STRUCTURE:  Total:  Housing units -- (Estimate)
B25024e2,"UNITS IN STRUCTURE:  1, detached:  Housing units -- (Estimate)"
B25024e3,"UNITS IN STRUCTURE:  1, attached:  Housing units -- (Estimate)"
B25024e4,UNITS IN STRUCTURE:  2:  Housing units -- (Estimate)
B25024e5,UNITS IN STRUCTURE:  3 or 4:  Housing units -- (Estimate)
B25024e6,UNITS IN STRUCTURE:  5 to 9:  Housing units -- (Estimate)
B25024e7,UNITS IN STRUCTURE:  10 to 19:  Housing units -- (Estimate)
B25024e8,UNITS IN STRUCTURE:  20 to 49:  Housing units -- (Estimate)
B25024e9,"UNITS IN STRUCTURE:  Boat, RV, van, etc.:  Housing units -- (Estimate)"
B25024e10,UNITS IN STRUCTURE:  Total:  Housing units -- (Estimate)
B25024e11,UNITS IN STRUCTURE:  Total:  Housing units -- (Estimate)
B25027e1,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25027e2,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Housing units with a mortgage:  Owner-occupied housing units -- (Estimate)
B25027e3,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Housing units with a mortgage:  Householder 15 to 34 years:  Owner-occupied housing units -- (Estimate)
B25027e4,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Housing units with a mortgage:  Householder 35 to 44 years:  Owner-occupied housing units -- (Estimate)
B25027e5,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Housing units with a mortgage:  Householder 45 to 54 years:  Owner-occupied housing units -- (Estimate)
B25027e6,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Housing units with a mortgage:  Householder 55 to 59 years:  Owner-occupied housing units -- (Estimate)
B25027e7,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Housing units without a mortgage:  Householder 75 years and over:  Owner-occupied housing units -- (Estimate)
B25027e8,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Housing units without a mortgage:  Householder 75 years and over:  Owner-occupied housing units -- (Estimate)
B25027e9,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Housing units without a mortgage:  Householder 75 years and over:  Owner-occupied housing units -- (Estimate)
B25027e10,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25027e11,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25027e12,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25027e13,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25027e14,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25027e15,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25027e16,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25027e17,MORTGAGE STATUS BY AGE OF HOUSEHOLDER:  Total:  Owner-occupied housing units -- (Estimate)
B25034e1,YEAR STRUCTURE BUILT:  Total:  Housing units -- (Estimate)
B25034e2,YEAR STRUCTURE BUILT:  Built 2010 or later:  Housing units -- (Estimate)
B25034e3,YEAR STRUCTURE BUILT:  Built 2000 to 2009:  Housing units -- (Estimate)
B25034e4,YEAR STRUCTURE BUILT:  Built 1990 to 1999:  Housing units -- (Estimate)
B25034e5,YEAR STRUCTURE BUILT:  Built 1980 to 1989:  Housing units -- (Estimate)
B25034e6,YEAR STRUCTURE BUILT:  Built 1970 to 1979:  Housing units -- (Estimate)
B25034e7,YEAR STRUCTURE BUILT:  Built 1939 or earlier:  Housing units -- (Estimate)
B25034e8,YEAR STRUCTURE BUILT:  Built 1939 or earlier:  Housing units -- (Estimate)
B25034e9,YEAR STRUCTURE BUILT:  Built 1939 or earlier:  Housing units -- (Estimate)
B25034e10,YEAR STRUCTURE BUILT:  Total:  Housing units -- (Estimate)
B25035e1,MEDIAN YEAR STRUCTURE BUILT:  Median year structure built:  Housing units -- (Estimate)
B25037e1,MEDIAN YEAR STRUCTURE BUILT BY TENURE:  Total:  Occupied housing units -- (Estimate)
B25037e2,MEDIAN YEAR STRUCTURE BUILT BY TENURE:  Owner occupied:  Occupied housing units -- (Estimate)
B25037e3,MEDIAN YEAR STRUCTURE BUILT BY TENURE:  Renter occupied:  Occupied housing units -- (Estimate)
B25041e1,BEDROOMS:  Total:  Housing units -- (Estimate)
B25041e2,BEDROOMS:  No bedroom:  Housing units -- (Estimate)
B25041e3,BEDROOMS:  1 bedroom:  Housing units -- (Estimate)
B25041e4,BEDROOMS:  2 bedrooms:  Housing units -- (Estimate)
B25041e5,BEDROOMS:  3 bedrooms:  Housing units -- (Estimate)
B25041e6,BEDROOMS:  4 bedrooms:  Housing units -- (Estimate)
B25041e7,BEDROOMS:  5 or more bedrooms:  Housing units -- (Estimate)
B25046e1,AGGREGATE NUMBER OF VEHICLES AVAILABLE BY TENURE:  Aggregate number of vehicles available:  Occupied housing units -- (Estimate)
B25046e2,AGGREGATE NUMBER OF VEHICLES AVAILABLE BY TENURE:  Owner occupied:  Occupied housing units -- (Estimate)
B25046e3,AGGREGATE NUMBER OF VEHICLES AVAILABLE BY TENURE:  Renter occupied:  Occupied housing units -- (Estimate)
B25056e1,CONTRACT RENT:  Total:  Renter-occupied housing units -- (Estimate)
B25056e2,CONTRACT RENT:  With cash rent:  $900 to $999:  Renter-occupied housing units -- (Estimate)
B25056e3,CONTRACT RENT:  No cash rent:  Renter-occupied housing units -- (Estimate)
B25056e4,CONTRACT RENT:  No cash rent:  Renter-occupied housing units -- (Estimate)
B25056e5,CONTRACT RENT:  No cash rent:  Renter-occupied housing units -- (Estimate)
B25056e6,CONTRACT RENT:  No cash rent:  Renter-occupied housing units -- (Estimate)
B25056e7,CONTRACT RENT:  No cash rent:  Renter-occupied housing units -- (Estimate)
