name,description
GEOID,GEOGRAPHIC IDENTIFIER (ZIP CODE TABULATION AREA)
B24031e1,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Total:  Civilian employed population 16 years and over with earnings -- (Estimate)
B24031e2,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Agriculture, forestry, fishing and hunting, and mining:  Civilian employed population 16 years and over with e"
B24031e3,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Agriculture, forestry, fishing and hunting, and mining:  Agriculture, forestry, fishing and hunting:  Civilian"
B24031e4,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Agriculture, forestry, fishing and hunting, and mining:  Mining, quarrying, and oil and gas extraction:  Civil"
B24031e5,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Construction:  Civilian employed population 16 years and over with earnings -- (Estimate)
B24031e6,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Manufacturing:  Civilian employed population 16 years and over with earnings -- (Estimate)
B24031e7,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Wholesale trade:  Civilian employed population 16 years and over with earnings -- (Estimate)
B24031e8,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Retail trade:  Civilian employed population 16 years and over with earnings -- (Estimate)
B24031e9,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER:  Transportation and warehousing, and utilities:  Civilian employed population 16 years and over with earnings -"
