id,name,city,state,lon,lat
1,"Southern Hills Medical Center","BERRY HILL","TN",-0086.721939,+0036.077843
2,"Sycamore Shoals Hospital","ELIZABETHTON","TN",-0082.247635,+0036.346218
3,"Tokona Hospital","GREENEVILLE","TN",-0082.845711,+0036.151772
4,"University of Tennessee Child Development Center","DOWNTOWN MEMPHIS","TN",-0090.037033,+0035.142872
5,"Volunteer General Hospital","MARTIN","TN",-0088.868393,+0036.335064
6,"West Side Hospital","BELLE MEADE","TN",-0086.809723,+0036.153667
7,"William L Bork Memorial Hospital","COLLEGEDALE","TN",-0085.134125,+0035.056461
8,"All Saints Hospital","FORT WORTH","TX",-0097.343361,+0032.729851
9,"Beaumont Army Hospital","CENTRAL EL PASO","NM",-0106.453598,+0031.822046
10,"Burns Hospital","CUERO","TX",-0097.285271,+0029.099424
11,"Club of Christ Hospital","JEFFERSON","TX",-0094.347420,+0032.440712
12,"Danforth Memorial Hospital","TEXAS CITY","TX",-0094.901306,+0029.392733
13,"Eldridge Memorial Hospital","FIRST COLONY","TX",-0095.617439,+0029.628016
14,"Good Shepherd Hospital","LONGVIEW","TX",-0094.730774,+0032.500980
15,"Hamilton Hospital","OLNEY","TX",-0098.763405,+0033.369278
16,"Holy Cross Hospital","AUSTIN","TX",-0097.713066,+0030.281878
17,"Keightley Hospital","FRESNO","TX",-0095.439110,+0029.606903
18,"Lockwood Hospital","HOUSTON","TX",-0095.317993,+0029.806057
19,"Medical Hospital","TYLER","TX",-0095.290787,+0032.338207
20,"Newton Memorial Hospital","CAMERON","TX",-0096.980827,+0030.854908
21,"Oak Hills Haven","BALCONES HEIGHTS","TX",-0098.574471,+0029.501621
22,"Parkview General Hospital","BAYSIDE","TX",-0097.393044,+0027.728918
23,"Porter Hospital","DOWNTOWN LUBBOCK","TX",-0101.867386,+0033.577305
24,"Robstown Riverside Hospital","NORTH SAN PEDRO","TX",-0097.635277,+0027.855021
25,"Saint Edwards Hospital","CAMERON","TX",-0096.977203,+0030.858799
26,"Saint Jude Hospital","BRENHAM","TX",-0096.399414,+0030.179655
27,"Santa Rosa Infirmary","ALAMO HEIGHTS","TX",-0098.498627,+0029.426903
28,"Southton Sanitorium","BULVERDE","TX",-0098.421677,+0029.312176
29,"State Tuberculosis Hospital","HARLINGEN","TX",-0097.706375,+0026.159523
30,"Texas Elks Hospital","PALMETO","TX",-0097.582497,+0029.595232
31,"Valley Baptist Hospital","HARLINGEN","TX",-0097.670830,+0026.175074
32,"Wilson Hospital","BAYSIDE","TX",-0097.386658,+0027.749197
33,"Ashley Valley Medical Center","MAESER","UT",-0109.530975,+0040.458023
34,"Charter Canyon Hospital","LINDON","UT",-0111.664085,+0040.310513
35,"Duchesne County Hospital","BALLARD","UT",-0109.996262,+0040.304127
36,"Holy Cross Hospital","SALT LAKE CITY","UT",-0111.861053,+0040.768005
37,"Logan Regional Hospital","HYDE PARK","UT",-0111.822166,+0041.756042
38,"Orem Community Hospital","LINDON","UT",-0111.705482,+0040.305515
39,"Saint Benedicts Hospital","CLEARFIELD","UT",-0111.970215,+0041.163273
40,"Shriners Hospital","SALT LAKE CITY","UT",-0111.851334,+0040.777725
41,"Utah Valley Regional Medical Center","OREM","UT",-0111.665474,+0040.247173
42,"Alexandria Hospital","ALEXANDRIA","MD",-0077.106094,+0038.822334
43,"Bayberry Hospital","BUCKROE BEACH","VA",-0076.338554,+0037.022926
44,"Brookwood Nursing Home","ARKENDALE","VA",-0077.382759,+0038.394016
45,"Central Virginia Training Center and Hospital","BOCOCK","VA",-0079.141968,+0037.402920
46,"Chippenham Hospital","BON AIR","VA",-0077.526649,+0037.513760
47,"Community Hospital","DOWNTOWN RICHMOND","VA",-0077.450531,+0037.565144
48,"David C Wilson Neuro-Psychiatric Hospital","CHARLOTTESVILLE","VA",-0078.506126,+0038.049858
49,"Fairfax Hospital","FAIRFAX","VA",-0077.227486,+0038.857891
50,"Fredericksburg Nursing Home","FREDERICKSBURG","VA",-0077.525543,+0038.290691
51,"General Hospital Number 9 (historical)","DOWNTOWN RICHMOND","VA",-0077.426369,+0037.535423
52,"Greensville County Health Center","EMPORIA","VA",-0077.541092,+0036.686817
